City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Punta Arenas,CL,57.31,few clouds,-53.15,-70.9167,Hotel Hain
1,Nieuw Amsterdam,SR,84.22,scattered clouds,5.8833,-55.0833,Hotel Stardust
3,Bredasdorp,ZA,68.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
4,Dasoguz,TM,39.31,overcast clouds,41.8363,59.9666,Hotel Erik
6,Olafsvik,IS,26.69,scattered clouds,64.8945,-23.7142,Hotel Olafsvik
7,Marisel,RO,19.63,clear sky,46.65,23.1333,Pensiunea La Ionel
10,Ambon,ID,75.34,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
11,Arraial Do Cabo,BR,82.26,light rain,-22.9661,-42.0278,Pousada Porto Praia
12,Castro,BR,80.06,few clouds,-24.7911,-50.0119,CHACARA BAILLY
13,Cape Town,ZA,71.11,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
14,Hilo,US,77.25,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
15,Ushuaia,AR,46.06,broken clouds,-54.8,-68.3,Albatross Hotel
16,Busselton,AU,56.08,clear sky,-33.65,115.3333,Observatory Guest House
17,Rikitea,PF,79.02,light rain,-23.1203,-134.9692,People ThankYou
18,Esperance,AU,62.44,overcast clouds,-33.8667,121.9,Hospitality Esperance
21,Rio Bueno,CL,79.11,overcast clouds,-40.3167,-72.9667,Hostal Caulle
24,Itarema,BR,84.02,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
25,Asau,RO,30.4,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
26,Belmopan,BZ,83.48,broken clouds,17.25,-88.7667,Villa San Juan
28,Severo-Kurilsk,RU,17.78,scattered clouds,50.6789,156.125,Kak Doma
29,Freetown,SL,83.91,haze,8.484,-13.2299,The Country Lodge Hotel
30,Haifa,IL,52.21,clear sky,32.8156,34.9892,Dan Panorama Haifa Hotel
31,Atuona,PF,77.67,light rain,-9.8,-139.0333,Villa Enata
32,New Norfolk,AU,56.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
33,Cidreira,BR,78.76,clear sky,-30.1811,-50.2056,Hotel Castelo
34,Hermanus,ZA,68.81,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
35,San Quintin,MX,74.55,few clouds,30.4833,-115.95,Don Eddie's Landing
36,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
38,Mount Holly,US,72.25,clear sky,35.2982,-81.0159,"Holiday Inn Express & Suites Charlotte Arpt-Belmont, an IHG Hotel"
39,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
40,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
41,Nikolskoye,RU,34.72,snow,59.7035,30.7861,Tourist House - Sablino
42,Colatina,BR,77.83,moderate rain,-19.5394,-40.6306,Colatina Hotel
43,Makat,KZ,31.5,overcast clouds,47.6469,53.3463,Umit
44,Saint-Pierre,RE,78.44,few clouds,-21.3393,55.4781,Lindsey Hôtel
