City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,57.31,44,20,35.68,few clouds
1,Nieuw Amsterdam,SR,5.8833,-55.0833,84.22,74,40,11.5,scattered clouds
2,Qaanaaq,GL,77.484,-69.3632,-20.29,47,0,8.5,clear sky
3,Bredasdorp,ZA,-34.5322,20.0403,68.29,76,100,5.37,overcast clouds
4,Dasoguz,TM,41.8363,59.9666,39.31,75,100,4.61,overcast clouds
5,Letnyaya Stavka,RU,45.4306,43.4472,42.89,67,100,14.07,overcast clouds
6,Olafsvik,IS,64.8945,-23.7142,26.69,71,41,19.6,scattered clouds
7,Marisel,RO,46.65,23.1333,19.63,86,6,2.98,clear sky
8,Avera,US,33.194,-82.5271,70.39,35,100,5.37,overcast clouds
9,Barrow,US,71.2906,-156.7887,-28.01,100,96,7.45,overcast clouds
10,Ambon,ID,-3.6954,128.1814,75.34,94,40,2.3,light rain
11,Arraial Do Cabo,BR,-22.9661,-42.0278,82.26,65,75,9.22,light rain
12,Castro,BR,-24.7911,-50.0119,80.06,44,17,1.99,few clouds
13,Cape Town,ZA,-33.9258,18.4232,71.11,79,20,16.11,few clouds
14,Hilo,US,19.7297,-155.09,77.25,71,0,1.7,clear sky
15,Ushuaia,AR,-54.8,-68.3,46.06,61,75,42.57,broken clouds
16,Busselton,AU,-33.65,115.3333,56.08,74,0,12.41,clear sky
17,Rikitea,PF,-23.1203,-134.9692,79.02,70,3,17.0,light rain
18,Esperance,AU,-33.8667,121.9,62.44,63,100,10.6,overcast clouds
19,Provideniya,RU,64.3833,-173.3,-11.45,82,11,5.99,few clouds
20,Zhigansk,RU,66.7697,123.3711,-33.65,100,83,3.96,broken clouds
21,Rio Bueno,CL,-40.3167,-72.9667,79.11,18,91,6.67,overcast clouds
22,Chokurdakh,RU,70.6333,147.9167,-2.45,95,100,13.69,overcast clouds
23,Zabaykalsk,RU,49.6333,117.3167,-20.4,100,62,3.56,broken clouds
